OBJECTID,HVR_RD_TRAIN_REF1,HVR_RD_TRAIN_REF1_COMM,RD_MANAGER,SUBJECT_PREF_RDNAME,LRS_RMACLASS,LOCALITIES,Shape_Length
864,Restricted,Restricted - Council road mass restricted for this vehicle,DELWP,WERRIMULL SOUTH ROAD,Municipal Road,WERRIMULL,326.095602001064
865,Restricted,Restricted - Council road mass restricted for this vehicle,DELWP,WERRIMULL SOUTH ROAD ,Municipal Road,WERRIMULL,173.107235601469
866,Restricted,Restricted - Council road mass restricted for this vehicle,MILDURA,CARWARP ROAD ,Municipal Road,MERINGUR to WERRIMULL,44145.2402265062
867,Restricted,Restricted - Council road mass restricted for this vehicle,MILDURA,MERINGUR SOUTH ROAD ,Municipal Road,MERINGUR,10116.8812905032
868,Restricted,Restricted - Council road mass restricted for this vehicle,MILDURA,THURLA ROAD,Municipal Road,KOORLONG to CARWARP,4861.57264763429
869,Restricted,Restricted - Council road mass restricted for this vehicle,MILDURA,WERRIMULL SOUTH ROAD,Municipal Road,WERRIMULL,198.476634021668
870,Restricted,Restricted - Council road mass restricted for this vehicle,MILDURA,WERRIMULL SOUTH ROAD ,Municipal Road,WERRIMULL,11002.4872383399
871,Restricted,Restricted - Council road mass restricted for this vehicle,MILDURA,YARRARA NORTH ROAD,Municipal Road,MERINGUR,17668.1173745199
872,Restricted,Restricted - Council road mass restricted for this vehicle,MILDURA,YARRARA NORTH ROAD ,Municipal Road,MERINGUR,102.510665175059
873,Restricted,Restricted - Council road mass restricted for this vehicle,MILDURA,YATPOOL WEST ROAD ,Municipal Road,CARWARP,5207.34849749217
874,Restricted,Restricted - Local road up to rail crossing has insufficient stacking distance for vehicles of this length. Seek alternate route,MILDURA,CARWARP ROAD ,Municipal Road,CARWARP,105.052128418878
875,Restricted,Restricted - Local road up to rail crossing has insufficient stacking distance for vehicles of this length. Seek alternate route,MILDURA,NORTH WEST ANGLE ROAD,Municipal Road,CARWARP,137.394007471256
